timestamp=2025-12-04T13:41:05.243Z level=INFO fiber=#0 message="Starting Salesforce Metadata API scraper (visible: false, browsers: 5, concurrency: 20, total: 100)"
timestamp=2025-12-04T13:41:05.251Z level=INFO fiber=#14 message="Launching discovery browser"
timestamp=2025-12-04T13:41:05.548Z level=INFO fiber=#28 message="Discovering metadata types from JSON documentation: https://developer.salesforce.com/docs/get_document/atlas.en-us.api_meta.meta"
timestamp=2025-12-04T13:41:06.080Z level=INFO fiber=#28 message="Metadata types discovered: 566"
timestamp=2025-12-04T13:41:06.109Z level=INFO fiber=#42 message="Discovery browser closed"
timestamp=2025-12-04T13:41:06.114Z level=INFO fiber=#56 message="Metadata types to scrape: 566"
timestamp=2025-12-04T13:41:06.118Z level=INFO fiber=#70 message="Launching 5 scraping browsers"
timestamp=2025-12-04T13:41:06.295Z level=INFO fiber=#154 message="All 5 browsers launched in 0m 0s"
timestamp=2025-12-04T13:41:06.303Z level=INFO fiber=#168 message="Creating 5 browser contexts"
timestamp=2025-12-04T13:41:06.329Z level=INFO fiber=#252 message="All 5 contexts created"
timestamp=2025-12-04T13:41:06.332Z level=INFO fiber=#266 message="Work distribution: Dynamic Effect Pool (20 per browser, 100 total)"
timestamp=2025-12-04T13:41:06.336Z level=INFO fiber=#280 message="Processing 566 metadata types (concurrency: 100)"
timestamp=2025-12-04T13:41:06.492Z level=INFO fiber=#363 message="[75/566] BatchCalcJobDefinition → Browser 5"
timestamp=2025-12-04T13:41:06.494Z level=INFO fiber=#291 message="[3/566] ActivationPlatformActvAttr → Browser 3"
timestamp=2025-12-04T13:41:06.495Z level=INFO fiber=#381 message="[93/566] CareSystemFieldMapping → Browser 3"
timestamp=2025-12-04T13:41:06.496Z level=INFO fiber=#289 message="[1/566] Data Cloud Metadata Types → Browser 1"
timestamp=2025-12-04T13:41:06.496Z level=INFO fiber=#324 message="[36/566] AccountRelationshipShareRule → Browser 1"
timestamp=2025-12-04T13:41:06.502Z level=INFO fiber=#365 message="[77/566] BillingSettings → Browser 2"
timestamp=2025-12-04T13:41:06.504Z level=INFO fiber=#387 message="[99/566] ClaimFinancialSettings → Browser 4"
timestamp=2025-12-04T13:41:06.525Z level=INFO fiber=#353 message="[65/566] AppointmentAssignmentPolicy → Browser 5"
timestamp=2025-12-04T13:41:06.566Z level=INFO fiber=#290 message="[2/566] ActivationPlatform → Browser 2"
timestamp=2025-12-04T13:41:06.841Z level=INFO fiber=#342 message="[54/566] ArticleType → Browser 4"
timestamp=2025-12-04T13:41:06.842Z level=INFO fiber=#382 message="[94/566] CareProviderSearchConfig → Browser 4"
timestamp=2025-12-04T13:41:06.879Z level=INFO fiber=#297 message="[9/566] CustomerDataPlatformSettings → Browser 4"
timestamp=2025-12-04T13:41:06.880Z level=INFO fiber=#307 message="[19/566] DataSourceTenant → Browser 4"
timestamp=2025-12-04T13:41:06.881Z level=INFO fiber=#377 message="[89/566] CampaignInfluenceModel → Browser 4"
timestamp=2025-12-04T13:41:06.881Z level=INFO fiber=#362 message="[74/566] AutoResponseRules → Browser 4"
timestamp=2025-12-04T13:41:06.882Z level=INFO fiber=#322 message="[34/566] StreamingAppDataConnector → Browser 4"
timestamp=2025-12-04T13:41:06.882Z level=INFO fiber=#302 message="[14/566] DataPackageKitObject → Browser 4"
timestamp=2025-12-04T13:41:06.883Z level=INFO fiber=#332 message="[44/566] AIApplication → Browser 4"
timestamp=2025-12-04T13:41:06.883Z level=INFO fiber=#337 message="[49/566] AnalyticSnapshot → Browser 4"
timestamp=2025-12-04T13:41:06.884Z level=INFO fiber=#380 message="[92/566] CareLimitType → Browser 2"
timestamp=2025-12-04T13:41:06.885Z level=INFO fiber=#360 message="[72/566] AuraDefinitionBundle → Browser 2"
timestamp=2025-12-04T13:41:06.892Z level=INFO fiber=#330 message="[42/566] AdvAccountForecastSet → Browser 2"
timestamp=2025-12-04T13:41:06.898Z level=INFO fiber=#325 message="[37/566] AccountingFieldMapping → Browser 2"
timestamp=2025-12-04T13:41:06.899Z level=INFO fiber=#370 message="[82/566] BotVersion → Browser 2"
timestamp=2025-12-04T13:41:06.900Z level=INFO fiber=#378 message="[90/566] CaseSubjectParticle → Browser 5"
timestamp=2025-12-04T13:41:06.900Z level=INFO fiber=#358 message="[70/566] AssessmentQuestionSet → Browser 5"
timestamp=2025-12-04T13:41:06.901Z level=INFO fiber=#316 message="[28/566] FieldSrcTrgtRelationship → Browser 3"
timestamp=2025-12-04T13:41:06.903Z level=INFO fiber=#366 message="[78/566] BlacklistedConsumer → Browser 3"
timestamp=2025-12-04T13:41:06.904Z level=INFO fiber=#306 message="[18/566] DataSourceObject → Browser 3"
timestamp=2025-12-04T13:41:06.906Z level=INFO fiber=#364 message="[76/566] BatchProcessJobDefinition → Browser 1"
timestamp=2025-12-04T13:41:06.907Z level=INFO fiber=#304 message="[16/566] DataSourceBundleDefinition → Browser 1"
timestamp=2025-12-04T13:41:06.908Z level=INFO fiber=#294 message="[6/566] ActvPlatformAdncIdentifier → Browser 1"
timestamp=2025-12-04T13:41:06.908Z level=INFO fiber=#369 message="[81/566] BotTemplate → Browser 1"
timestamp=2025-12-04T13:41:06.909Z level=INFO fiber=#359 message="[71/566] Audience → Browser 1"
timestamp=2025-12-04T13:41:06.909Z level=INFO fiber=#374 message="[86/566] CallCenter → Browser 1"
timestamp=2025-12-04T13:41:06.936Z level=INFO fiber=#367 message="[79/566] Bot → Browser 4"
timestamp=2025-12-04T13:41:06.937Z level=INFO fiber=#312 message="[24/566] ExternalDataSource → Browser 4"
timestamp=2025-12-04T13:41:06.939Z level=INFO fiber=#347 message="[59/566] ApexComponent → Browser 4"
timestamp=2025-12-04T13:41:06.942Z level=INFO fiber=#318 message="[30/566] MarketSegmentDefinition → Browser 5"
timestamp=2025-12-04T13:41:06.948Z level=INFO fiber=#313 message="[25/566] ExternalDataTransportFieldTemplate → Browser 5"
